path;enabled;showTitle;position;memberships;image;cleanURL;name_en;description_en;metaTags_en;metaDesc_en;metaTitle_en;name_ru;description_ru;metaTags_ru;metaDesc_ru;metaTitle_ru
;Yes;Yes;0;;;;Catalog;"<div style=""margin: 0 0 1em;""><img id=""MainImage"" src=""{{WEB_LC_ROOT}}public/store-index-banner.png"" alt=""X-Cart Based Store"" usemap=""#MainImageMap"" /></div><p style=""text-align: justify;"">This demo online store is powered by X-Cart 5 shopping cart software. With X-Cart 5 you can setup a web store having all of the features this demo has.</p><p style=""text-align: justify;""><strong>This service is for demo purposes only.</strong> No real products. No real prices. No real charges. This is a demonstration. Please do not submit real credit card information.</p>";;;;"Столы, стулья, стеллажи, полки, в Воронеже";"<div style=""margin: 0 0 1em;""><img id=""MainImage"" src=""var/images/upload/banner1.jpg"" alt=""Интернет магазин мебели в Воронеже ADAS мебель. Столы компьютерные, столы кухонные, столы стеклянные, стулья, стеллажи"" usemap=""#MainImageMap"" width=""854"" height=""350"" /></div>";"Столы, стулья, стеллажи, полки, в Воронеже, фабрика Кубика, фабрика Мэрдэс, ADAS Мебель";"Столы, стулья, стеллажи, полки, в Воронеже, бесплатная доставка, фабрика Кубика, фабрика Мэрдэс ADAS Мебель";"Столы, стулья, стеллажи, полки, в Воронеже бесплатная доставка ADAS Мебель"
"Столы стеклянные";Yes;Yes;20;;http://adas-mebel.ru/images/category/glass_1.jpeg;stoly_steklyannye;iGoods;;;;;"Столы стеклянные";;"Стеклянные столы, Воронеж, бесплатная доставка, ADAS Мебель";"Стеклянные столы в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Китай Малайзия";"Стеклянные столы в Воронеже бесплатная доставка ADAS Мебель"
"Столы кухонные";Yes;Yes;30;;http://adas-mebel.ru/images/category/laminat_1.jpeg;stoly_kuhonnye;Apparel;"<img src=""{{WEB_LC_ROOT}}/public/apparel.png"" alt=""""/>";;;;"Столы кухонные";;"Кухонные столы, Воронеж, бесплатная доставка, ADAS Мебель";"Кухонные столы в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия Китай Малайзия";"Кухонные столы в Воронеже бесплатная доставка ADAS Мебель"
"Столы журнальные";Yes;Yes;40;;http://adas-mebel.ru/images/category/zhurnal_1.jpeg;stoly_zhurnal-nye;Toys;"<img src=""{{WEB_LC_ROOT}}/public/toys.png"" alt=""""/>";;;;"Столы журнальные";;"Столы журнальные, Воронеж, бесплатная доставка, ADAS Мебель";"Столы журнальные в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия Китай";"Столы журнальные в Воронеже бесплатная доставка ADAS Мебель"
Стулья;Yes;Yes;60;;http://adas-mebel.ru/images/category/chair_1.jpeg;stul-ya;;;;;;Стулья;;"Стулья, Воронеж, бесплатная доставка, ADAS Мебель";"Стулья в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия";"Стулья в Воронеже бесплатная доставка ADAS Мебель"
Табуреты;Yes;Yes;50;;http://adas-mebel.ru/images/category/taburet_1.jpeg;taburety;;;;;;Табуреты;;"Табуреты, Воронеж, бесплатная доставка, ADAS Мебель";"Табуреты в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия";"Табуреты в Воронеже бесплатная доставка ADAS Мебель"
"Столы компьютерные";Yes;Yes;10;;http://adas-mebel.ru/images/category/komp_1.jpeg;stoly_komp-yuternye;;;;;;"Столы компьютерные";;"Столы компьютерные, Воронеж, бесплатная доставка, ADAS Мебель";"столы компьютерные в Воронеже Бесплатная доставка ADAS Мебель фабрика Мэрдэс Россия";"Столы компьютерные в Воронеже Бесплатная доставка ADAS Мебель"
"Стулья >>> Стулья деревянные";Yes;Yes;10;;http://adas-mebel.ru/images/category/chair_2.jpeg;stul-ya_derevyannye;;;;;;"Стулья деревянные";;"Стулья деревянные, Воронеж, бесплатная доставка, ADAS Мебель";"Стулья деревянные в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия";"Стулья деревянные в Воронеже бесплатная доставка ADAS Мебель"
"Стулья >>> Стулья хромированные";Yes;Yes;20;;http://adas-mebel.ru/images/category/chair_chrome_1.jpeg;stul-ya_hromirovannye;;;;;;"Стулья хромированные";;"Стулья хромированные, Воронеж, бесплатная доставка, ADAS Мебель";"Стулья хромированные в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия";"Стулья хромированные в Воронеже бесплатная доставка ADAS Мебель"
"Стеллажи, полки";Yes;Yes;70;;http://adas-mebel.ru/images/category/stelaj_3.jpeg;stilazhi-_polki;;;;;;"Стеллажи, полки";;"Стеллажи и полки, Воронеж, бесплатная доставка, ADAS Мебель";"Стеллажи и полки в Воронеже бесплатная доставка ADAS Мебель фабрика Мэрдэс Россия";"Стеллажи и полки в Воронеже бесплатная доставка ADAS Мебель"
"Стеллажи, полки >>> Стеллажи";Yes;Yes;10;;http://adas-mebel.ru/images/category/stelaj_2.jpeg;stellazhi;;;;;;Стеллажи;;"Стеллажи, Воронеж, бесплатная доставка, ADAS Мебель";"Стеллажи в Воронеже бесплатная доставка ADAS Мебель фабрика Мэрдэс Россия";"Стеллажи в Воронеже бесплатная доставка ADAS Мебель"
"Стеллажи, полки >>> Полки";Yes;Yes;20;;http://adas-mebel.ru/images/category/polka_1.jpeg;polki;;;;;;Полки;;"Полки, Воронеж, бесплатная доставка, ADAS Мебель";"Полки в Воронеже бесплатная доставка ADAS Мебель фабрика Мэрдэс Россия";"Полки в Воронеже бесплатная доставка ADAS Мебель"
"Столы стеклянные >>> Раскладные столы";Yes;Yes;20;;http://adas-mebel.ru/images/category/glass_open_1.jpeg;stoly_raskladnye;;;;;;"Раскладные столы";;"Раскладные стеклянные столы, Воронеж, бесплатная доставка, ADAS Мебель";"Раскладные стеклянные столы в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Китай Малайзия";"Раскладные стеклянные столы в Воронеже бесплатная доставка ADAS Мебель"
"Столы стеклянные >>> Не раздвижные столы";Yes;Yes;10;;http://adas-mebel.ru/images/category/glass_mono_1.jpeg;nerazdvizhnye_stoly;;;;;;"Не раздвижные столы";;"Не раздвижные стеклянные столы, Воронеж, бесплатная доставка, ADAS Мебель";"Не раздвижные стеклянные столы в Воронеже бесплатная доставка ADAS Мебель фабрика Кубика Россия Китай Малайзия";"Не раздвижные стеклянные столы в Воронеже бесплатная доставка ADAS Мебель"
